alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_nom_fr,Energie ,Eau ,Proteines ,Glucides ,Lipides ,Sucres ,Amidon ,Fibres_alimentaires ,Cholesterol ,sel ,Calcium ,Fer ,Iode ,Beta_Carotene ,VitamineD ,VitamineE ,VitamineC ,VitamineB1 ,VitamineB12 
entrées et plats composés,salades composées et crudités,-,"Céleri rémoulade, préemballé",-,"78,5","1,12","4,19","12,8","2,38","1,3","2,87","0,1",1,"28,6","0,29",2,< 8,"< 0,5","3,4","25,2","< 0,04","< 0,08"
entrées et plats composés,salades composées et crudités,-,"Salade de thon et légumes, appertisée, égouttée",-,"76,5","9,15","7,74","4,7","3,08","4,1","2,7","19,2","1,11","20,7","1,1",2,-,"< 0,5","1,6","2,75","< 0,04","1,45"
entrées et plats composés,salades composées et crudités,-,"Salade composée avec viande ou poisson, appertisée, égouttée",-,"76,7","8,06","6,4","5,3","1,9","3,3",2,"15,2","0,95",22,"0,7",< 20,781,"0,44","2,04",-,"0,032","1,23"
entrées et plats composés,salades composées et crudités,-,Champignon à la grecque,-,"84,6","2,08","3,95","3,55","2,38","0,28","2,35","0,11","1,26","22,6","0,58","1,91",747,0,"1,47","10,3","0,062","0,018"
entrées et plats composés,salades composées et crudités,-,Salade de pommes de terre maison,-,76,"2,68","9,9","8,2",-,-,"1,3",68,"1,33",19,"0,65",-,36,0,-,10,"0,077",0
entrées et plats composés,salades composées et crudités,-,"Taboulé ou Salade de couscous, préemballé",-,"66,4","4,29","22,2","5,65","3,82",13,"2,27","0,1","0,91","19,9","0,72",2,-,0,"1,68","14,5","0,09",0
entrées et plats composés,salades composées et crudités,-,"Salade de pomme de terre à la piémontaise, préemballée",-,"74,9","4,11","7,98","9,28","1,17",-,"1,51","34,2","0,97",-,-,"7,5",-,"0,5","2,07","7,62",-,-
entrées et plats composés,salades composées et crudités,-,Salade de riz,-,"72,5","5,13","16,1","4,35",1,"14,3","1,7","6,5","1,1","23,3","0,43",< 5,34,"< 0,5","1,63","4,48","0,058","0,43"
entrées et plats composés,salades composées et crudités,-,"Salade de pâtes, végétarienne",-,"73,9","5,7","12,9","8,1","2,3",10,"1,7",6,"0,58",14,"0,6",4,1180,0,"1,95",21,"0,04",0
entrées et plats composés,salades composées et crudités,-,"Crudité, sans assaisonnement (aliment moyen)","22,3","93,7","1,03","2,5","0,53","2,01","0,25","1,51","0,059","0,037","27,3","0,46","1,92",1770,"0,074","0,47","14,6","0,044",0
entrées et plats composés,salades composées et crudités,-,"Salade de pâtes aux légumes, avec poisson ou viande",-,"70,3","5,19",14,"9,94","2,16","7,58","1,98",11,"0,95","18,5","0,69","3,13",494,"0,23","0,55","5,56","0,069","0,23"
entrées et plats composés,salades composées et crudités,-,"Salade César au poulet (salade verte, fromage, croûtos, sauce)",151,"71,8","8,13","4,88",10,"1,71","3,17",2,"40,7","0,75",100,"0,5",< 20,627,"< 0,25","2,24","1,11","0,096","0,48"
entrées et plats composés,salades composées et crudités,-,"Salade de chou ou Coleslaw, avec sauce, préemballée",105,"80,4","0,94","5,78","8,1","4,72","< 0,35",3,-,"0,88",39,"1,3",< 20,1340,"< 0,25","2,21","21,6","0,026",-
entrées et plats composés,salades composées et crudités,-,"Taboulé ou Salade de couscous au poulet, préemballé",-,"62,6","6,4","20,6","7,45","2,48","16,6","2,02","8,24","1,05",18,"0,8",< 20,135,"< 0,25","1,48","< 0,5","0,14","0,1"
entrées et plats composés,soupes,-,"Soupe aux lentilles, préemballée à réchauffer","53,2","85,8","3,28","6,6","1,12","0,7",-,"1,8",3,"0,36",25,"1,07",4,430,-,0,"1,7","0,07","0,12"
entrées et plats composés,soupes,-,"Soupe à la volaille et aux légumes, préemballée à réchauffer","30,8",-,"3,09","2,6","0,8","1,2",-,"0,4",-,"1,75",-,-,-,-,-,-,-,-,"0,11"
entrées et plats composés,soupes,-,"Soupe aux légumes variés, préemballée à réchauffer","39,4","90,2","0,76","5,05","1,56","1,72","2,2","1,1","3,7","0,69",14,"0,14",< 20,1710,0,"0,62","5,75","0,29","0,052"
entrées et plats composés,soupes,-,"Soupe de poissons et / ou crustacés, préemballée à réchauffer","42,8","89,4","3,45","2,88","1,79","0,9","1,7","0,69",30,"0,86",130,"0,61",70,446,"< 0,2","0,32","< 0,5","0,03","1,35"
entrées et plats composés,soupes,-,"Soupe aux légumes variés, déshydratée reconstituée","34,5","90,9","0,86","4,43","1,22","1,07","2,6","1,16","2,12","0,69",21,"0,19",1,261,0,"0,19","3,28","0,05","0,029"
entrées et plats composés,soupes,-,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer","37,1","90,8","0,79","4,46","1,51","0,81","3,2","1,28","4,73","0,73",16,"0,17",< 20,120,-,"0,28","7,95","0,01","0,045"
entrées et plats composés,soupes,-,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer","30,8","93,5","1,3","3,86",1,"0,77",-,"0,56",5,"0,82","7,96","0,14","0,5",119,0,"0,03",-,"0,055","0,02"
entrées et plats composés,soupes,-,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer","5,78","98,1","0,44","0,1","0,4",0,"0,1",0,0,"1,08",1,"0,1",-,-,-,-,0,"0,06","0,05"
entrées et plats composés,soupes,-,"Soupe à l'oignon, préemballée à réchauffer","40,4","92,7","1,35","4,93","1,4","1,5",-,"1,34",0,"0,79",12,"0,27",-,1,0,"0,11","0,5","0,013",0
entrées et plats composés,soupes,-,"Soupe aux champignons, préemballée à réchauffer","48,2",92,"0,81","4,09","3,07","0,91",-,"0,52","3,3","0,78",7,"0,09","8,4",0,"0,1","0,24",-,"0,006",0
entrées et plats composés,soupes,-,"Soupe à la carotte, préemballée à réchauffer","33,2","91,2","0,61","3,89","1,41","1,82","2,08","1,22",-,"0,65",15,"0,3",-,3500,-,-,11,"0,05",-
entrées et plats composés,soupes,-,"Soupe à la tomate, préemballée à réchauffer","38,7","90,3","0,74","6,27","0,99","2,95","1,8","0,88","2,9","0,64",11,"0,14",< 20,1680,"0,6","0,69","6,4","0,01","0,01"
entrées et plats composés,soupes,-,"Soupe chorba frik, à base de viande et de frik","62,9","85,1","3,75","5,4","2,5","0,9","3,9","1,9",11,"0,84",19,"0,97",2,172,"0,02","0,6","3,2","0,03","0,11"
entrées et plats composés,soupes,-,"Soupe minestrone, préemballée à réchauffer","48,8","89,4","1,2","5,6",2,"1,7",-,"1,8","1,5","0,75","33,3","0,56",1,885,0,"0,67","1,25","0,023",0
entrées et plats composés,soupes,-,"Soupe au pistou, déshydratée reconstituée","30,4","88,2","1,2","5,2","0,35","1,2",4,"0,8",1,"0,64",19,"0,4",1,900,-,"0,2",7,-,-
entrées et plats composés,soupes,-,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",29,"90,6","0,91","5,09","0,5","1,06",-,"0,21",-,"0,63",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe asiatique, avec pâtes, déshydratée reconstituée","29,8","93,3","0,97","5,25","0,44","1,21",-,"0,49",-,"0,84",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe marocaine, déshydratée reconstituée","34,3",90,"1,2","5,77","0,55","1,49",-,"0,72",-,"0,8",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée","26,1","92,8","0,63","4,84","0,41","0,91",-,"0,28",-,"0,72",-,-,-,90,-,-,30,"0,07",-
entrées et plats composés,soupes,-,"Soupe à la volaille et aux légumes, déshydratée reconstituée","27,3",-,"0,99","4,58","0,44","0,55",-,"0,51",-,"0,73",-,-,-,-,-,-,3,-,-
entrées et plats composés,soupes,-,"Bouillon de boeuf, déshydraté reconstitué","9,05","97,6","0,6","1,33","0,15","0,33",0,0,0,"0,74","5,25","0,15",-,0,0,"0,01",0,"0,0029","0,065"
entrées et plats composés,soupes,-,"Soupe aux asperges, déshydratée reconstituée","35,3","90,8","0,6","5,14","1,31","0,99","2,8","0,28",-,"0,76",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer","37,7",-,"1,1","5,87","0,8","3,43",-,"1,3",-,"0,77",-,-,-,-,-,-,20,-,-
entrées et plats composés,soupes,-,"Soupe aux céréales et aux légumes, déshydratée reconstituée","47,8",90,"1,4","6,8","1,4","1,2",-,"1,2",-,"0,78","12,5","0,29",-,-,-,-,"3,84","0,04",-
entrées et plats composés,soupes,-,"Soupe à la tomate, déshydratée reconstituée","36,2","90,4","0,76","5,79","0,97","2,44","2,4","0,64","2,02","0,69",11,"0,14",< 20,147,-,"0,25","< 0,5","0,02","0,14"
entrées et plats composés,soupes,-,"Soupe aux champignons, déshydratée reconstituée","37,8","91,3","0,65","4,37","1,79","0,63","2,3","0,82","0,87","0,79",10,"0,02",< 20,"14,7","< 0,25","0,24","< 0,5","0,03","0,028"
entrées et plats composés,soupes,-,"Soupe à l'oignon, déshydratée reconstituée",24,"94,1","0,58","4,37","0,4","1,3",-,"0,31",-,"0,79",20,-,1,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe au potiron, préemballée à réchauffer","35,9","91,8","0,67","4,13","1,56","2,37","1,1","1,31","4,95","0,65",15,"0,14",< 20,2530,0,"0,51","< 0,5","0,018","0,036"
entrées et plats composés,soupes,-,"Bouillon de volaille, déshydraté reconstitué","5,58","97,1","0,6","0,5","0,13","0,18",0,"< 0,0001",0,"0,78",5,"0,05",-,0,-,-,0,"0,005","0,055"
entrées et plats composés,soupes,-,"Bouillon de légumes, déshydraté reconstitué","5,38",98,"0,34","0,65","0,16","0,19","0,2",0,0,"0,61",1,"0,1",-,2,-,-,0,"0,11",0
entrées et plats composés,soupes,-,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée","21,6","92,2","0,63","4,21","0,18","0,72","3,5","0,32","< 0,7","0,68","9,1","0,18",< 20,162,"< 0,25","0,34","< 0,5","0,02",-
entrées et plats composés,soupes,-,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée","21,3","94,2","0,75","3,87","0,25","0,31","3,4","0,26","0,72","0,68","7,2","0,1",< 20,"20,7",-,"< 0,08","< 0,5","0,28","0,026"
entrées et plats composés,soupes,-,"Soupe au pistou, préemballée à réchauffer","31,9",-,2,"4,1","0,5","< 0,25",-,"1,5",-,"0,65",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe au potiron, déshydratée reconstituée","38,3",-,"0,79","5,61","1,24","2,64",-,"0,76",-,"0,7",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe asiatique, avec pâtes, préemballée à réchauffer","22,3",-,"0,7","3,4","0,5","0,5",-,"0,7",-,"0,9",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe minestrone, déshydratée reconstituée","31,3","91,3","1,14","5,53","0,34","1,07",-,"0,79",-,"0,7",-,-,-,-,-,-,5,-,-
entrées et plats composés,soupes,-,"Soupe au cresson, déshydratée reconstituée","25,1",-,"0,42","3,95","0,8","0,31",-,"0,19",-,"0,77",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe au cresson, préemballée à réchauffer",34,-,1,"5,4","0,8","0,9",-,"0,6",-,"0,78",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,"Soupe aux légumes avec fromage, préemballée à réchauffer","50,2",-,"1,34","5,09","2,51","1,62",-,"0,93",-,"0,67",-,-,-,-,-,-,11,-,-
entrées et plats composés,soupes,-,"Soupe aux légumes verts, préemballée à réchauffer","33,4","90,9",1,"3,84","1,32","0,81","3,03","1,05","3,52","0,7",24,"0,27",< 20,177,"1,52","0,28",9,"0,17",-
entrées et plats composés,soupes,-,"Soupe aux légumes verts, déshydratée reconstituée","34,8","91,8","0,72","5,31","1,07","1,07","3,3","0,54","< 0,7","0,66",12,"0,11",< 20,"10,5","< 0,25","0,18","6,15","0,05",-
entrées et plats composés,soupes,-,"Soupe aux pois cassés, préemballée à réchauffer","56,7",-,"2,68","6,25","1,98","1,02",-,"1,6",-,"0,7",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,Soupe froide type Gaspacho ou Gazpacho,"32,8","91,1","0,65","3,38","1,62","2,32","< 0,35","1,04",-,"0,75",11,"0,11",< 20,291,"< 0,25","1,31","1,98","< 0,01",-
entrées et plats composés,soupes,-,"Soupe aux asperges, préemballée à réchauffer",133,-,"4,6","4,7","10,4","2,9",-,1,-,"0,98",-,-,-,-,-,-,-,-,-
entrées et plats composés,soupes,-,Soupe (aliment moyen),"37,3","90,8","1,22","4,51","1,37","1,62","2,07","1,03","7,22","0,75","26,8","0,26",16,1130,,"0,48","5,19","0,049","0,22"
entrées et plats composés,soupes,-,Soupe miso,"17,1","94,6","1,38","2,18","< 0,5","0,69",-,"< 0,5",-,"1,1",18,"0,19",70,-,"< 0,25","0,26",-,"< 0,015","1,98"
entrées et plats composés,plats composés,plats de viande sans garniture,Tripes à la mode de Caen,117,74,"20,4","0,51","3,68",traces,"0,3",0,119,"1,06",23,"1,1",6,-,-,"0,47",0,"0,02","1,2"
entrées et plats composés,plats composés,plats de viande sans garniture,"Tripes à la mode de Caen, préemballées",112,"77,9","18,4","0,7","3,62","0,5",-,"1,25",-,"1,03","23,6","0,9",-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,Tripes à la tomate ou à la provençale,"94,1","76,6","15,7","0,6","3,2","< 0,4",-,0,-,"1,23",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,Blanquette de veau,113,"75,1","15,4","3,1",4,"0,3","1,9","0,8","56,6","0,74",15,"0,92",< 20,736,"< 0,25","0,37","< 0,5","0,062","1,59"
entrées et plats composés,plats composés,plats de viande sans garniture,Boeuf bourguignon,"94,9","78,4","8,93","6,74","3,3","1,57","1,3","1,25",64,"0,88","16,9","1,75","3,8",-,"0,5","0,6","0,8","0,07","0,6"
entrées et plats composés,plats composés,plats de viande sans garniture,"Canard en sauce (poivre vert, chasseur, etc.)",145,-,"9,55","10,2","7,3",-,-,traces,-,-,-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,Lapin à la moutarde,108,-,"14,9","0,5",5,"0,5",-,"0,8",-,"1,2",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,Coq au vin,133,-,13,4,7,1,-,"0,9",65,"1,05",14,"1,3","3,3",0,"0,04","0,48","1,5","0,07","1,4"
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de veau,209,"62,1","14,7","8,39","12,8","2,24","2,94","0,48","71,7","1,03","30,2",1,"8,03",1160,"0,1","0,68","1,29","0,098","0,62"
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de volaille,159,"65,6","18,9","7,28","5,83",-,"2,94","1,05","64,2","0,84","30,1","1,06","7,59",1160,"0,19","0,7","1,67","0,095","0,35"
entrées et plats composés,plats composés,plats de viande sans garniture,Viande en sauce (aliment moyen),107,"76,8","11,2","4,75","4,55","1,34","1,71","1,05","53,5","0,88","16,3","1,16","6,5",,"0,25","0,73","1,19","0,064","0,76"
entrées et plats composés,plats composés,plats de viande sans garniture,Poulet au curry et au lait de coco,124,"75,2","10,6","3,15","6,9","1,49","1,65","1,1","37,3","1,07",18,"0,51",< 20,412,"< 0,25","1,65","2,51","0,032","0,15"
entrées et plats composés,plats composés,plats de viande sans garniture,"Meloukhia, plat à base de boeuf et corete",187,"67,7","10,6","0,68","14,7","0,68",0,"4,7",23,"0,93","51,3","2,4","2,8",143,0,"5,1","1,5","0,03","0,66"
entrées et plats composés,plats composés,plats de viande sans garniture,Palette à la diable,120,-,"13,5","2,08","6,07","1,38",-,"1,45",-,"2,25",-,1,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,Langue de b?uf sauce madère,180,-,"9,5","4,5","13,5","2,5",-,1,-,"1,08",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,Porc au caramel,135,"70,7",10,"11,4","5,4","7,9","1,3","0,7",29,"1,34","9,9","0,49",< 20,"64,5","< 0,25","0,62","< 0,5","0,19","0,27"
entrées et plats composés,plats composés,plats de viande sans garniture,"Boulettes au b?uf, à la sauce tomate",117,-,9,"5,5","6,5",-,-,traces,-,-,-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande sans garniture,"Paupiette de veau, cuite au four",276,"54,8",22,"0,48","20,5","0,3","< 0,35","0,9","89,5","1,07",24,"0,94",< 20,-,"< 0,25","< 0,08","1,62","0,16","1,61"
entrées et plats composés,plats composés,plats de viande sans garniture,"Carpaccio de b?uf, avec marinade",278,"57,2","15,2","2,37",23,"0,3","0,0024","0,33","56,2","1,1",112,"1,89","15,2","98,3","0,38","2,63","6,74","0,085","2,08"
entrées et plats composés,plats composés,plats de viande sans garniture,Yakitori (brochettes japonaises grillées en sauce),172,"58,8",26,"9,28","3,3","6,6","1,3","0,6","86,6","1,19","9,8","0,61",< 20,"10,5","< 0,25","0,5",-,"0,09","0,41"
entrées et plats composés,plats composés,plats de viande et féculents,Hachis Parmentier à la viande,138,"73,6","5,99","9,39","8,22","1,47",-,"1,43",20,"0,83","59,6","0,71","4,55",0,"0,1","0,2","0,65","0,02","0,42"
entrées et plats composés,plats composés,plats de viande et féculents,Couscous au mouton,149,"68,9","8,31","12,2","7,2","1,38","10,8","1,3","17,5","0,81","31,6","1,24",3,724,"0,14","0,4",5,"0,075","0,5"
entrées et plats composés,plats composés,plats de viande et féculents,"Couscous à la viande ou au poulet, allégé","90,7","72,9","5,9","11,5","1,9","2,1","9,4",2,16,"0,7",22,"0,78","2,3",779,"0,04","0,97",7,"0,07","0,04"
entrées et plats composés,plats composés,plats de viande et féculents,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts",168,65,"3,2","16,2","9,6","1,7","14,5","2,1","10,5","0,6",26,"0,49",< 20,"22,6","< 0,25","1,49","3,04","0,086","0,15"
entrées et plats composés,plats composés,plats de viande et féculents,Couscous royal (avec plusieurs viandes),132,"69,2","7,69",14,"4,53","1,57","12,5","2,1",20,"0,88","25,2","0,93","5,8",700,0,"0,4","1,69","0,07","0,28"
entrées et plats composés,plats composés,plats de viande et féculents,Couscous au poulet,130,"66,9","7,5","15,6","3,85","2,87","12,8","1,47","26,6","0,79","18,4","0,86",3,700,"0,01","0,48","4,05","0,08","0,13"
entrées et plats composés,plats composés,plats de viande et féculents,Couscous à la viande,128,"69,2","7,59","12,5","4,73","1,97",-,"2,53",-,"0,78","25,2",-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et féculents,Parmentier de canard,146,"69,9","6,82","8,51","9,06","1,96",-,"1,55",-,"0,81",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et féculents,"Parmentier de canard, cuit",168,"68,5",7,"10,5","10,2","1,7","8,4","1,2","37,9","0,74",39,"0,68",< 20,-,"< 0,25","< 0,08","< 0,5","0,08","0,61"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Cassoulet, appertisé",129,"70,6","8,06","9,41","5,77","1,06","7,3","3,55","21,3","0,97","45,7","1,23",6,0,"< 0,5","0,18","2,94","0,083","0,12"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Choucroute garnie,109,"82,4","5,06","2,8","8,06","0,66",-,"2,71","34,7","1,39","27,1","0,83","17,8",0,0,"0,25","9,09","0,14",-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Petit salé ou saucisse aux lentilles,118,"73,5","8,24","8,89","4,87","1,51","6,3","2,83",27,"0,98",20,"1,8",2,280,"< 0,5","0,39","< 0,5","0,24","0,13"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Pot-au-feu,"77,5","82,9","10,9","3,2","2,02","1,5","1,7","1,5","28,8","0,32","23,5","1,69",6,718,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Boeuf aux carottes,"96,6","78,5","13,2","3,3","3,15","0,6","2,7","1,1",47,"0,58","15,9","0,9",3,456,0,"0,4",2,"0,07","0,8"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Potée auvergnate (chou et porc),"86,4",82,"6,48","4,85","4,1","1,13","3,72","2,1",19,"0,67",33,"0,79",2,587,0,"0,1",9,"0,17","0,2"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Cassoulet au porc, appertisé",132,"71,1","8,3","8,6","6,3","1,8",-,4,-,"1,1",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Cassoulet au canard ou oie, appertisé",161,"68,6","10,5","10,1","7,86","1,09",-,"3,86",-,"1,05",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tomate farcie,123,"78,5","5,84",2,"9,67","0,88","1,12","2,1",42,"0,7","18,4","0,87",4,-,"0,1","1,1",7,"0,06",-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Chou farci,"94,9","81,2","5,3",2,"6,6",2,-,"3,13",-,"0,87",145,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Chili con carne,118,"74,2","7,13",13,"3,35","2,58","4,6","3,56","14,6","0,93","32,8","1,6",2,192,"< 0,5","0,88","2,25","0,088","0,35"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Moussaka,147,76,"5,82","5,16","10,8","3,01","0,9","2,84",31,"0,97",16,"0,62","5,2",150,"0,2","0,46","3,1","0,06","0,6"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Navarin d'agneau aux légumes,109,"73,8","9,13","4,12","5,84","1,11","1,73","1,57","39,6","0,49","25,2","1,31","11,7",846,"0,037","0,83","5,52","0,1","1,19"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tajine de mouton,132,73,"12,8","4,5","6,83","2,4","2,1",< 1,"57,8","0,99","5,1","1,6",2,700,"< 0,5","0,71","< 0,5","0,07","1,65"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Osso buco,102,"77,4","12,5","3,5","4,06","1,1","2,3","0,6",26,"1,47","13,7","0,6","3,3",481,0,"0,53","2,4","0,083","0,38"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Poulet basquaise,107,-,"9,3","2,5","6,4",2,-,"1,3",-,"0,89",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tajine de poulet,127,"72,7","7,54","14,4","3,7","6,8","2,3",3,"27,7","1,17",18,"0,45",< 20,152,"< 0,25","1,27","< 0,5","0,14","0,075"
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Chop suey (porc ou poulet),"78,2",-,5,"7,8",3,-,-,traces,-,-,-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Légumes farcis (sauf tomate),"84,6","80,8","5,01","3,6","5,28","2,58","1,02","1,31","31,7","0,77","30,2","0,52","11,5","93,2","0,085","0,55","4,72","0,11","0,12"
entrées et plats composés,plats composés,plats de poisson sans garniture,Moules marinières (oignons et vin blanc),"97,8","76,5","10,3","8,86","2,24","1,05",-,"0,53",-,"0,69",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,"Moules farcies (matière grasse, persillade?), crues",284,"57,5","9,56","4,43","24,8","0,3",-,"1,26","88,5","1,08",40,"2,5",100,-,"< 0,25","1,79","< 0,5","< 0,015","19,3"
entrées et plats composés,plats composés,plats de poisson sans garniture,"Gratin ou cassolette de poisson et / ou fruits de mer, à cuire",108,"80,1","7,19","3,13","7,13","1,29",-,"1,07",-,1,"58,2","0,41",-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,"Gratin ou cassolette de poisson et / ou fruits de mer, cuit",117,"78,2","6,69","5,28","7,5","1,6","2,3","0,7","35,4","0,92",52,"0,28",20,225,"< 0,25","0,63","< 0,5","< 0,015","0,95"
entrées et plats composés,plats composés,plats de poisson sans garniture,Saumon à l'oseille,148,"71,2","8,36",11,"7,65","0,58",-,"0,73",-,"0,69",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la bordelaise,172,"67,5","14,8","4,3","10,4","0,6","3,7",1,51,"1,28","21,1","1,2",92,-,"0,9","2,6","9,7","< 0,05","2,2"
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la provençale ou niçoise (sauce tomate),"66,3","83,6","9,31","0,89","2,3","0,89",-,"2,4",28,"0,7","16,1",< 1,71,449,"< 0,2","1,1",-,"< 0,05","1,1"
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la florentine (sauce aux épinards),100,-,"11,4","2,9","4,35","1,95",-,2,-,"0,56",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules)",80,-,"11,5","2,2","2,8",-,-,traces,-,-,-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la sauce moutarde,"90,8",-,"9,2","5,4","3,6",-,-,0,-,-,-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la parisienne (sauce aux champignons),"72,5","84,2","9,16","1,15","3,25","0,86",-,1,-,"0,55",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à l'estragon,"77,2",-,"8,8","4,2","2,8",-,-,0,-,-,-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc sauce oseille,104,"78,6","11,8","1,47","5,5","1,47",-,1,"45,6","0,88",40,"0,24",44,0,"< 0,5","1,1","< 0,5","0,075","1,87"
entrées et plats composés,plats composés,plats de poisson sans garniture,Saumon farci,227,-,"18,8","0,4","16,2","0,4",-,"2,4",-,"0,65",-,-,-,-,-,-,-,-,-
entrées et plats composés,plats composés,plats de poisson sans garniture,Brochette de poisson,128,"73,9",18,"0,94","5,73","0,73","0,012","0,29","43,1","0,48","25,9","0,65","67,5","59,8","1,25","1,06","5,66","0,067","2,38"
entrées et plats composés,plats composés,plats de poisson sans garniture,Brochette de crevettes,"98,1","76,1","17,1","1,05","2,77","0,85","0,2","0,34",116,"0,96","82,3","1,53","27,1","71,5","0,36","2,43","7,66","0,037","0,97"
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson en sauce, surgelé",126,75,"13,3","1,67","7,05","1,3",-,"1,25",28,"0,82","18,2","0,4","79,5",0,"1,13","2,31",0,"0,086","1,53"
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson cuit (aliment moyen),143,"69,4","23,4",0,"5,48",0,,0,"57,6","0,54","29,3","0,68","72,8","0,84","3,54","0,93","0,95","0,11","3,76"
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc, cuit (aliment moyen)",106,"74,2",22,0,"2,06",0,,0,"63,2","0,88","29,8","0,37","67,1","1,5","1,43","0,71","0,41","0,061","1,86"
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc, de mer, cuit (aliment moyen)",105,"74,2",22,0,"1,9",0,,0,"60,9","0,96","27,3","0,37","71,8","1,75","1,04","0,71","0,36","0,061","1,91"
entrées et plats composés,plats composés,plats de poisson et féculents,Paëlla,148,"66,9","7,86","17,1","4,9","1,2","15,1","1,85","22,8","0,87","38,7","0,69",4,125,"< 0,5","1,3","1,95","0,073","1,1"
